iso3,year,isscaap_group,variable,units,source,value
AGO,2014,"Herrings, sardines, anchovies",capture_production,tonnes,FAO (2019),112142
AGO,2014,"Lobsters, spiny-rock lobsters",capture_production,tonnes,FAO (2019),848
AGO,2014,Marine fishes not identified,capture_production,tonnes,FAO (2019),46782
AGO,2014,Miscellaneous coastal fishes,capture_production,tonnes,FAO (2019),68149
AGO,2014,Miscellaneous demersal fishes,capture_production,tonnes,FAO (2019),11088
AGO,2014,Miscellaneous marine crustaceans,capture_production,tonnes,FAO (2019),0
AGO,2014,Miscellaneous pelagic fishes,capture_production,tonnes,FAO (2019),144853
AGO,2014,"Sharks, rays, chimaeras",capture_production,tonnes,FAO (2019),3496
AGO,2014,"Shrimps, prawns",capture_production,tonnes,FAO (2019),3355
AGO,2014,"Squids, cuttlefishes, octopuses",capture_production,tonnes,FAO (2019),2388
AGO,2014,"Tunas, bonitos, billfishes",capture_production,tonnes,FAO (2019),3198
AGO,2015,"Cods, hakes, haddocks",capture_production,tonnes,FAO (2019),3874
AGO,2015,"Crabs, sea-spiders",capture_production,tonnes,FAO (2019),2005
AGO,2015,"Flounders, halibuts, soles",capture_production,tonnes,FAO (2019),1570
AGO,2015,"Herrings, sardines, anchovies",capture_production,tonnes,FAO (2019),211008
AGO,2015,"Lobsters, spiny-rock lobsters",capture_production,tonnes,FAO (2019),274
AGO,2015,Marine fishes not identified,capture_production,tonnes,FAO (2019),52862
AGO,2015,Miscellaneous coastal fishes,capture_production,tonnes,FAO (2019),34659
AGO,2015,Miscellaneous demersal fishes,capture_production,tonnes,FAO (2019),12186
AGO,2015,Miscellaneous marine crustaceans,capture_production,tonnes,FAO (2019),89
AGO,2015,Miscellaneous pelagic fishes,capture_production,tonnes,FAO (2019),127705
AGO,2015,"Sharks, rays, chimaeras",capture_production,tonnes,FAO (2019),3461
AGO,2015,"Shrimps, prawns",capture_production,tonnes,FAO (2019),2358
AGO,2015,"Squids, cuttlefishes, octopuses",capture_production,tonnes,FAO (2019),839
AGO,2015,"Tunas, bonitos, billfishes",capture_production,tonnes,FAO (2019),3828
AGO,2016,"Cods, hakes, haddocks",capture_production,tonnes,FAO (2019),4066
AGO,2016,"Crabs, sea-spiders",capture_production,tonnes,FAO (2019),1873
AGO,2016,"Flounders, halibuts, soles",capture_production,tonnes,FAO (2019),6000
AGO,2016,"Herrings, sardines, anchovies",capture_production,tonnes,FAO (2019),149540
AGO,2016,"Lobsters, spiny-rock lobsters",capture_production,tonnes,FAO (2019),149
AGO,2016,Marine fishes not identified,capture_production,tonnes,FAO (2019),95670
AGO,2016,Miscellaneous coastal fishes,capture_production,tonnes,FAO (2019),64476
