uaid,spid,SciName,CommName,SpeciesCat,VonBertK,Temp,area,MaxLength,AgeMat,pcat,mind
80,2400,Spicara spp,Picarels nei,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,2401,Mullus spp,Surmullets(=Red mullets) nei,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2503,2402,Upeneus spp,Goatfishes,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6512,2405,Drepane punctata,Spotted sicklefish,33,0.363000001,NaN,NaN,50,NaN,NaN,10
11766,2406,Platax spp,Batfishes,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10703,2407,Pseudopentaceros richardsoni,Pelagic armourhead,34,NaN,NaN,3498,56,NaN,3,0
18938,2424,Tautoga onitis,Tautog,33,0.126,NaN,345,91,NaN,4,1
176,2425,Scaridae,Parrotfishes nei,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3735,2426,Pomacanthidae,Angelfishes nei,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2096,2427,Cheilodactylus variegatus,Peruvian morwong,34,NaN,NaN,NaN,43,NaN,1,NaN
7502,2428,Nemadactylus macropterus,Tarakihi,34,0.180142856,NaN,NaN,70,4,3,22
641,2429,Nemadactylus spp,Morwongs,34,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3365,2433,Trachinus draco,Greater weever,33,NaN,NaN,2379,53,NaN,1,1
10669,2435,Nototheniidae,"Antarctic rockcods, noties nei",33,NaN,NaN,NaN,NaN,NaN,NaN,NaN
342,2436,Eleginops maclovinus,Patagonian blennie,33,NaN,NaN,NaN,NaN,NaN,2,NaN
10590,2438,Dissostichus mawsoni,Antarctic toothfish,34,0.074500002,NaN,11880,175,14.70000029,1,0
339,2439,Dissostichus eleginoides,Patagonian toothfish,34,NaN,NaN,8481,215,6,4,50
11993,2440,Notothenia rossii,Marbled rockcod,33,0.132600002,2,5280,92,NaN,3,5
11992,2441,Notothenia gibberifrons,Humped rockcod,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN
647,2442,Notothenia squamifrons,Grey rockcod,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17345,2450,Champsocephalus gunnari,Mackerel icefish,34,0.251399994,NaN,NaN,66,4,4,0
963,2456,Anarhichas lupus,Atlantic wolffish,34,0.087599999,NaN,5502,150,6,1,1
5961,2457,Anarhichas minor,Spotted wolffish,34,0.102249998,NaN,5070,180,8,1,25
11634,2459,Genypterus spp,Cusk-eels nei,34,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2128,2460,Genypterus maculatus,Black cusk-eel,34,NaN,NaN,198,100,NaN,1,NaN
8902,2461,Brotula barbata,Bearded brotula,34,0.186000004,NaN,4972,94,NaN,3,NaN
8177,2462,Hypoptychus dybowskii,Korean sandlance,33,3.832499981,NaN,NaN,10,NaN,NaN,NaN
798,2465,Thyrsites atun,Snoek,34,0.419999987,15.5,8820,200,2,4,0
10717,2467,Ruvettus pretiosus,Oilfish,34,NaN,NaN,35280,300,NaN,2,100
1220,2468,Trichiurus lepturus,Largehead hairtail,34,0.343823529,NaN,30282,234,NaN,3,0
4027,2469,Aphanopus carbo,Black scabbardfish,34,0.180499993,NaN,3192,110,NaN,1,200
66,2471,Sarda sarda,Atlantic bonito,36,0.513428575,19.5,14700,91.40000153,1,3,80
139,2473,Scomber scombrus,Atlantic mackerel,37,0.356400003,NaN,5355,60,1.799999952,2,0
1184,2474,Orcynopsis unicolor,Plain bonito,36,NaN,NaN,3942,130,NaN,2,NaN
9496,2475,Gymnosarda unicolor,Dogtooth tuna,36,NaN,24,12078,247.9801941,NaN,3,10
2611,2476,Rastrelliger spp,Indian mackerels nei,37,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6406,2477,Rastrelliger brachysoma,Short mackerel,37,1.566499992,25,3132,34.5,NaN,4,15
3628,2478,Rastrelliger kanagurta,Indian mackerel,37,1.098275002,17,8700,35,NaN,4,20
739,2480,Scomberomorus spp,Seerfishes nei,36,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1423,2483,Scomberomorus cavalla,King mackerel,36,0.174000002,NaN,4224,184,NaN,2,5
5695,2484,Scomberomorus regalis,Cero,36,0.219999999,NaN,4225,183,NaN,3,1
